country_code,quarter,gdp_index
PRT,2020-Q3,95.203098107
PRT,2020-Q4,94.757241832
OECD,2020-Q4,96.575333999
POL,2020-Q4,96.608080395
COL,2020-Q4,100.922953904
NZL,2020-Q4,102.370373987
CAN,2020-Q4,95.180570542
LTU,2020-Q4,98.829508934
GBR,2020-Q4,87.995271434
LVA,2020-Q4,98.48004631
NOR,2020-Q4,95.471549831
CHL,2020-Q4,104.839502519
IRL,2020-Q4,90.714966819
BEL,2020-Q4,91.295137172
AUT,2020-Q4,92.69161805
SVN,2020-Q4,88.41344731
CZE,2020-Q4,90.826335264
CHE,2020-Q4,97.106420678
SWE,2020-Q4,96.348628607
FIN,2020-Q4,97.045446889
LUX,2020-Q4,92.113828144
ESP,2020-Q4,89.954740718
DNK,2020-Q4,100.073305932
HUN,2020-Q4,99.186168339
ITA,2020-Q4,90.387588703
USMCA,2020-Q4,98.283919776
GRC,2020-Q4,92.198882319
DEU,2020-Q4,93.653139618
MEX,2020-Q4,93.320773891
CRI,2020-Q4,92.860362672
FRA,2020-Q4,93.983767225
USA,2020-Q4,99.122792238
USA,2021-Q1,101.375852957
FRA,2021-Q1,94.058238878
CRI,2021-Q1,98.897162395
DEU,2021-Q1,90.327673448
GRC,2021-Q1,92.86888543
USMCA,2021-Q1,100.359097079
ITA,2021-Q1,89.258950533
HUN,2021-Q1,96.944452333
DNK,2021-Q1,96.44467335
ESP,2021-Q1,89.94652171999999
LUX,2021-Q1,97.141199679
FIN,2021-Q1,97.928106997
SWE,2021-Q1,98.369184836
CHE,2021-Q1,94.080096289
CZE,2021-Q1,91.34392661300001
SVN,2021-Q1,98.670660774
AUT,2021-Q1,89.555091574
BEL,2021-Q1,91.940122665
IRL,2021-Q1,88.020452241
CHL,2021-Q1,108.252031569
NOR,2021-Q1,92.014963851
LVA,2021-Q1,98.117438207
GBR,2021-Q1,84.751315514
LTU,2021-Q1,101.100001871
CAN,2021-Q1,95.5670476
NZL,2021-Q1,107.218533346
COL,2021-Q1,103.545373446
POL,2021-Q1,98.475188973
OECD,2021-Q1,97.088672942
PRT,2021-Q1,90.656131822
PRT,2021-Q2,97.582868898
OECD,2021-Q2,100.415377013
LTU,2021-Q2,103.877506646
POL,2021-Q2,99.532170595
COL,2021-Q2,101.747134255
NZL,2021-Q2,107.406503271
CAN,2021-Q2,95.514704981
LVA,2021-Q2,99.184585117
NOR,2021-Q2,94.089188004
CHL,2021-Q2,112.25874128
IRL,2021-Q2,94.527528898
GBR,2021-Q2,94.572020146
BEL,2021-Q2,94.963127936
AUT,2021-Q2,95.028546879
SVN,2021-Q2,99.525166522
CHE,2021-Q2,97.631492269
CZE,2021-Q2,97.602727693
SWE,2021-Q2,99.770563743
LUX,2021-Q2,101.256722362
ESP,2021-Q2,92.494411081
DNK,2021-Q2,102.546757561
HUN,2021-Q2,101.23308655700001
FIN,2021-Q2,98.908466125
ITA,2021-Q2,95.743110099
USMCA,2021-Q2,103.50234442
GRC,2021-Q2,97.229902145
DEU,2021-Q2,92.648288531
CRI,2021-Q2,99.899431715
FRA,2021-Q2,96.56597253
USA,2021-Q2,104.918417866
USA,2021-Q3,105.790825721
FRA,2021-Q3,101.390929557
CRI,2021-Q3,101.170038002
DEU,2021-Q3,97.150291982
GRC,2021-Q3,99.129476991
USMCA,2021-Q3,104.608228377
ITA,2021-Q3,97.737102063
FIN,2021-Q3,100.397533942
HUN,2021-Q3,104.925451538
DNK,2021-Q3,104.466859908
ESP,2021-Q3,93.964515846
LUX,2021-Q3,104.417811776
SWE,2021-Q3,103.686724329
CZE,2021-Q3,98.914004157
