magnitude,longitude,latitude
7.1,173.818,-19.528
7.2,-174.248,-16.925
7.3,119.74,15.766
7.0,-154.3469,57.3424
7.5,168.214,-16.423
7.0,148.763,-6.351
7.0,88.976,-1.339
7.2,31.161,40.758
7.1,-116.265,34.6033333
7.5,-96.931,16.059
7.7,120.982,23.772
7.6,29.864,40.748
7.0,-97.436,18.386
7.1,152.486,-4.751
7.1,150.88,-5.159
7.1,130.35,43.607
7.4,149.568,-5.591
7.1,121.937,5.397
7.3,166.697,-12.853
7.0,153.235,-4.596
7.7,124.891,-2.071
7.0,128.946,-6.92
7.1,139.329,28.932
7.2,-80.393,-0.593
7.0,141.926,-2.961
7.0,166.16,-11.04
7.5,125.308,22.306
7.0,99.261,-0.544
7.2,-179.092,-17.552
8.1,149.527,-62.877
7.1,-70.207,-23.913
7.5,170.911,-22.301
7.2,147.867,-5.495
7.8,162.035,54.841
7.0,122.536,1.241
7.0,167.375,-15.145
7.5,87.325,35.069
7.2,-76.681,-4.368
7.1,-71.22,-30.933
7.8,-176.772,-22.101
7.0,-177.624,-28.683
7.0,-63.486,10.598
7.1,179.791,-32.115
7.3,59.809,33.825
7.7,166.676,-12.584
7.1,68.208,29.976
7.1,-65.719,-21.999
7.2,-102.756,18.219
7.7,-75.675,-14.993
7.4,-178.31,-20.69
7.0,120.45,1.0
7.9,122.589,-7.137
7.1,125.154,12.614
7.3,-176.847,51.478
7.9,-177.632,51.564
7.0,-42.254,10.797
7.2,154.999,-6.518
7.2,-177.036,-24.061
7.1,-98.07,15.978
7.5,-79.587,-9.593
8.09,136.952,-0.891
7.2,149.892,45.324
7.9,119.931,0.729
7.1,129.151,-6.903
7.9,149.3,44.663
7.2,34.799,28.826
7.2,-93.469,16.84
7.1,130.175,27.929
8.0,-104.205,19.055
7.0,-77.881,-2.75
7.4,-98.597,16.779
7.1,145.218,18.856
7.2,154.347,-5.771
7.7,154.178,-5.799
8.0,-70.294,-23.34
7.2,-177.589,-29.211
7.1,142.827,52.629
7.7,169.9,-23.008
7.1,125.297,12.626
7.2,125.58,12.059
7.4,-173.529,-15.199
7.1,178.752,-37.759
7.0,142.175,40.246
7.8,143.419,40.525
7.1,121.067,13.525
7.3,147.916,43.905
8.3,147.321,43.773
7.1,-125.68,40.402
7.3,132.865,42.34
7.2,167.518,-16.62
8.2,-67.553,-13.841
7.8,112.835,-10.477
7.0,-23.569,-1.278
7.6,-178.413,-18.039
7.0,169.361,-20.553
7.0,127.733,1.015
7.0,169.789,-20.23
7.0,158.647,51.934
7.2,-92.645,14.717
7.0,166.927,-45.277
7.0,70.868,36.379
7.8,144.801,12.982
7.7,139.197,42.851
7.5,157.829,51.218
7.0,-66.543,-22.671
7.0,126.57,7.219
7.1,164.181,-10.972
7.6,143.691,43.3
7.3,130.393,-6.582
7.8,121.896,-8.48
7.2,-76.862,7.075
7.4,168.948,-19.247
7.7,-87.34,11.742
7.3,73.575,42.142
7.2,-178.413,-22.483
7.3,-116.437,34.2
7.0,165.239,-11.122
7.3,126.762,7.191
7.1,126.645,7.239
7.2,147.572,-6.075
7.2,-124.2286667,40.3353333
7.2,-25.266,-56.032
7.6,151.021,45.533
7.2,-77.442,4.554
7.2,158.442,-9.094
7.0,-178.591,-20.878
7.0,-125.856,41.679
7.0,-72.187,-13.108
7.3,-63.349,-26.802
7.5,122.787,1.196
7.0,-176.218,-20.252
7.0,-161.606,54.567
7.0,122.957,1.156
7.0,43.673,42.453
7.6,-83.073,9.685
7.1,-77.094,-5.982
7.0,126.48,8.87
7.0,95.901,23.613
7.5,150.967,-5.097
7.1,169.871,53.452
7.0,-70.776,-10.97
7.1,169.132,-19.435
7.2,167.464,-15.355
7.7,121.172,15.679
7.4,49.409,36.957
7.1,121.899,11.76
7.0,26.668,45.841
7.1,120.363,-7.363
7.1,31.848,5.358
7.2,32.145,5.121
7.2,141.847,49.037
7.8,122.857,1.186
7.6,147.596,15.125
7.3,-84.808,9.919
7.1,168.063,-18.318
7.6,175.163,-22.122
7.6,126.729,8.337
7.1,146.383,-6.436
7.4,142.76,39.837
7.0,-156.4293,55.3217
8.02,160.568,-52.341
7.0,-178.414,-30.523
7.1,-71.381,-8.281
7.1,126.76,2.305
7.7,99.611,22.789
7.1,-172.415,-18.771
7.6,160.819,-10.366
7.3,95.127,25.149
7.0,133.667,-6.081
7.0,152.779,-6.526
7.1,-72.305,-17.192
7.8,-143.032,56.953
7.3,124.616,13.477
7.2,-70.433,-24.753
7.0,-70.568,-24.71
7.9,-142.786,58.679
7.4,149.06,-6.266
7.0,154.371,-7.288
7.3,-172.225,-17.94
7.4,158.513,-58.893
7.2,-69.991,-19.022
7.1,130.791,-5.577
7.0,-66.205,-22.767
7.2,-77.821,0.151
7.0,-70.701,-24.495
7.6,-70.161,-24.388
7.4,147.689,-6.088
7.0,-26.916,-60.063
7.4,121.574,23.901
7.2,-176.616,-21.702
7.7,-176.367,-28.117
7.2,26.316,45.547
7.5,126.519,1.795
7.2,143.943,-4.448
7.1,-178.925,-22.037
7.1,178.86,-20.19
8.0,-174.776,51.52
7.0,-102.973,18.404
7.1,170.102,-21.277
7.1,166.516,-13.966
7.0,166.185,-13.987
7.0,166.24,-14.043
7.1,134.911,-1.639
7.6,-101.647,17.802
8.0,-102.533,18.19
7.0,75.224,39.431
7.4,70.896,36.19
7.3,152.828,-4.439
7.2,151.045,-5.599
7.0,120.61,15.344
7.0,126.411,1.622
7.2,-71.618,-34.131
7.4,-71.663,-33.207
8.0,-71.871,-33.135
7.5,125.124,5.167
7.1,98.027,0.197
7.1,170.95,-22.022
7.1,-38.794,8.185
7.2,-173.643,-15.86
7.4,122.517,-0.086
7.1,151.577,-4.843
7.2,148.192,44.117
7.0,63.35,40.32
7.4,138.935,29.384
7.3,123.762,8.147
7.6,160.469,-10.012
7.0,118.806,-2.823
7.2,136.894,33.683
7.4,70.738,36.372
7.0,-91.924,14.066
7.3,72.11,-6.852
7.3,128.168,-7.481
7.2,-25.451,-60.665
7.4,-70.563,-26.535
7.1,161.287,55.867
7.4,139.102,40.462
7.0,62.054,27.793
7.0,-78.103,-4.843
7.1,-83.123,8.717
7.6,153.581,-4.883
7.0,-179.339,-30.383
7.0,20.228,38.026
7.2,-175.864,-24.133
7.0,165.931,-12.597
7.1,141.702,36.194
7.0,160.513,-51.225
7.1,136.967,27.929
7.29,-89.387,13.332
7.0,-98.358,16.558
7.1,124.358,13.752
7.1,-177.741,-29.934
7.2,25.227,39.243
7.3,-102.084,18.048
7.2,-73.074,-33.134
7.7,-173.085,-14.96
7.1,57.794,30.013
7.0,167.601,-17.26
7.0,171.742,-22.293
7.6,164.357,-48.786
7.0,176.274,51.744
7.2,-124.253,41.117
7.2,169.853,-21.89
7.3,1.354,36.195
7.9,165.916,-12.525
7.5,166.381,-12.41
7.0,146.753,43.53
7.7,-79.358,1.598
7.1,59.726,33.962
7.1,161.284,-10.615
7.4,165.707,-46.675
7.9,136.04,-1.679
7.1,122.096,19.066
7.6,-101.276,17.813
7.1,-141.593,60.642
7.0,122.075,23.247
7.7,-96.591,16.01
7.1,162.136,-11.132
7.4,57.434,33.386
7.0,-85.222,10.204
7.4,121.512,22.282
7.0,-172.264,-17.098
7.7,142.028,38.19
7.1,78.606,42.839
7.6,148.862,44.244
7.5,148.439,44.932
7.2,-177.358,-30.683
7.4,-67.767,-31.028
7.2,-175.406,-25.856
7.1,-20.508,-59.426
8.3,118.385,-11.154
7.2,155.538,-8.031
7.5,160.731,-9.965
7.5,160.822,-9.844
7.5,160.348,-9.89
7.6,-172.095,-16.696
7.0,122.327,16.773
7.5,26.761,45.772
7.3,44.029,39.121
7.1,139.918,-4.517
7.9,124.023,6.262
7.4,118.401,39.664
7.5,117.978,39.57
7.0,-78.127,7.409
7.1,140.091,-4.603
7.0,96.318,3.397
7.0,98.71,24.531
7.0,63.472,40.381
7.0,63.773,40.311
7.5,-89.101,15.324
7.0,149.123,44.915
8.0,-177.657,-28.427
7.8,-172.467,-16.264
7.7,-155.0015,19.333
7.2,125.993,12.54
7.8,-175.119,-24.894
7.0,166.499,-12.519
7.0,102.198,-4.882
7.7,155.152,-7.104
7.9,155.054,-6.59
7.0,147.734,43.024
7.9,-17.649,35.997
7.7,-73.232,-38.183
7.0,122.58,40.641
7.6,173.497,53.113
7.2,-77.786,-12.5
7.2,154.034,-8.42
7.5,-62.0,17.3
7.6,-77.795,-12.265
7.1,-73.431,-38.453
7.3,73.83,39.457
7.3,-77.688,7.747
7.2,-175.954,-29.082
7.1,155.575,-7.383
7.0,155.894,-7.461
7.2,166.863,-14.434
7.2,166.896,-15.117
7.5,166.601,-14.464
7.0,-21.549,-60.823
7.1,146.442,43.318
7.7,145.785,43.233
7.0,122.787,13.372
7.2,156.584,50.486
7.4,100.581,31.398
7.5,-102.996,18.481
7.32,140.854,33.313
8.0,126.665,6.43
7.0,168.967,-20.085
7.5,152.911,-6.033
7.6,-135.918,56.674
7.72,124.192,3.781
7.05,-175.026,-17.777
7.2,154.188,-5.154
7.34,120.268,13.422
7.0,121.562,23.575
7.25,179.678,-25.804
7.15,140.89,33.446
7.4,166.334,-11.421
7.11,121.97,23.036
7.3,122.284,22.598
7.62,163.225,55.955
7.3,159.216,52.763
7.1,166.573,-11.885
7.3,141.185,46.529
7.06,-22.071,-0.789
7.01,143.432,41.413
7.42,-77.379,-2.848
8.1,153.182,-4.868
8.0,153.864,-5.467
7.8,-71.168,-32.617
7.7,139.735,-3.212
7.2,-80.661,-4.044
7.31,151.613,52.301
8.0,-72.532,-1.597
7.0,95.367,25.997
7.0,131.751,32.138
7.3,-131.006,51.754
7.3,159.229,-59.272
7.9,-78.847,-9.266
7.12,140.23,27.236
7.3,-92.612,14.472
7.03,122.051,15.131
7.42,121.678,15.786
7.23,29.58,39.132
7.11,-174.915,52.487
7.28,-177.227,-25.908
7.26,126.646,6.808
7.1,102.474,24.157
7.2,-59.675,15.734
7.44,163.51,57.668
7.54,94.545,2.04
7.09,147.623,43.273
8.2,147.787,43.465
7.01,126.184,1.145
7.04,160.098,-52.671
7.07,131.942,32.141
7.8,-10.641,36.001
7.12,118.829,-3.189
7.22,126.581,-6.784
7.22,178.82,-22.797
7.6,127.34,4.662
7.1,167.345,-14.849
7.12,158.892,-8.019
7.0,143.31,-3.346
7.31,140.635,26.358
7.1,-178.004,-30.633
7.1,58.968,34.131
7.27,159.914,-10.188
7.22,119.755,0.099
7.68,126.221,1.475
7.3,-97.746,16.543
7.6,122.067,16.38
7.3,-178.145,-30.799
7.0,142.965,39.493
7.5,139.37,-2.867
7.06,172.06,-41.727
7.0,150.276,44.815
7.0,-178.194,-30.799
7.9,142.858,41.498
8.2,143.362,40.89
7.5,132.294,32.479
7.3,153.302,-5.433
7.38,146.702,43.559
7.27,153.738,-5.267
7.3,-69.956,-21.878
7.08,-85.872,11.925
7.23,-179.186,-21.182
7.0,-79.689,-10.64
7.29,30.734,40.67
7.01,-71.274,-9.163
7.0,-34.253,52.806
7.0,-74.772,2.906
7.05,102.987,48.215
7.24,165.517,-12.509
7.8,166.473,-11.866
7.67,-70.531,-25.487
8.1,-78.448,-10.704
7.71,128.49,2.388
7.1,160.922,-10.301
7.03,139.665,11.358
7.02,160.071,-52.76
7.5,122.688,24.271
7.4,-95.876,16.157
7.4,166.995,-16.123
7.6,167.18,-15.804
7.2,166.97,-15.47
7.3,157.884,-56.141
7.8,-167.653,53.009
7.1,148.912,44.574
7.7,167.2,-14.649
7.6,177.877,50.286
7.4,-71.206,-32.516
7.44,70.724,36.405
7.0,-70.632,-25.659
7.39,179.592,51.436
8.7,178.715,51.251
8.2,125.961,-2.633
7.02,164.382,-49.027
7.16,167.666,-15.534
7.28,-100.605,18.136
